source,target
27,53
27,18
27,44
27,20
18,5
18,44
18,16
18,49
24,4
24,18
24,55
24,36
33,23
33,9
33,11
33,8
55,1
55,54
55,25
55,21
32,14
32,7
32,44
32,18
57,44
57,18
57,20
57,33
46,37
46,15
46,20
46,35
44,18
44,43
44,25
44,28
30,27
30,17
30,2
30,1
37,4
37,42
37,11
37,28
54,3
54,14
54,32
54,51
50,26
50,21
50,30
50,3
49,19
49,50
49,55
49,28
47,7
47,27
47,3
47,14
35,20
35,53
35,37
35,8
43,12
43,25
43,48
43,39
42,31
42,1
42,2
42,3
7,26
7,32
7,43
7,21
51,46
51,38
51,57
51,24
1,51
1,29
1,37
1,6
28,2
28,13
28,36
28,47
19,3
19,10
19,26
19,31
56,6
56,54
56,49
56,3
3,49
3,30
3,11
3,6
2,1
2,28
2,46
2,47
4,10
4,25
4,15
4,45
20,43
20,33
20,23
20,13
45,52
45,3
45,7
45,9
39,18
39,43
39,23
39,40
40,1
40,28
40,14
40,37
53,35
53,43
53,50
53,48
52,45
52,27
52,12
52,35
